5,Loop,Branch&Cut Generic,Branch&Cut,Branch&Cut Generic + Patching,Branch&Cut + Patching
a280.tsp,13.857,9.509,4.187,8.211,4.191
ali535.tsp,251.844,119.427,601.148,314.189,600.92
att48.tsp,0.972,0.252,0.202,0.251,0.189
att532.tsp,313.906,376.933,600.842,567.807,600.86
berlin52.tsp,0.141,0.179,0.063,0.191,0.051
bier127.tsp,2.439,1.213,1.283,1.749,1.291
burma14.tsp,0.066,0.034,0.031,0.031,0.021
ch130.tsp,2.411,1.031,1.474,1.771,1.159
ch150.tsp,5.951,1.841,3.211,2.679,2.491
d198.tsp,26.099,6.578,39.322,11.712,13.501
d493.tsp,317.945,266.471,600.981,179.002,600.82
d657.tsp,458.962,601.071,601.375,600.791,602.46
eil51.tsp,0.749,0.172,0.167,0.156,0.121
eil76.tsp,0.285,0.185,0.094,0.212,0.113
eil101.tsp,1.081,0.261,0.271,0.354,0.269
fl417.tsp,209.508,306.274,604.234,122.981,600.902
gil262.tsp,26.517,30.878,18.357,13.989,27.911 
gr96.tsp,2.131,0.765,0.421,0.551,0.708
gr137.tsp,3.428,0.947,1.064,1.121,1.121
gr202.tsp,19.909,4.104,6.073,5.531,6.329
gr229.tsp,16.537,14.832,4.919,12.648,9.122
gr431.tsp,72.726,35.762,46.931,46.832,86.982
gr666.tsp,600.235,190.031,601.017,601.047,601.172
kroA100.tsp,2.011,0.829,0.861,0.651,0.882
kroA150.tsp,10.519,2.603,2.796,3.412,2.271
kroA200.tsp,24.679,13.581,34.077,8.682,74.918
kroB100.tsp,4.225,1.552,0.869,1.271,0.659
kroB150.tsp,14.636,4.824,5.791,4.472,6.111
kroB200.tsp,12.244,7.161,6.088,10.427,8.239
kroC100.tsp,2.628,0.739,0.631,0.711,0.769
kroD100.tsp,2.113,0.496,0.832,0.673,0.709
kroE100.tsp,2.477,1.357,0.681,0.948,0.931
lin105.tsp,1.674,0.642,0.472,0.311,0.419
lin318.tsp,47.514,25.434,37.783,35.308,100.161
p654.tsp,600.351,157.174,85.571,600.811,308.872
pcb442.tsp,243.732,15.792,36.125,22.309,35.702
pr76.tsp,4.225,2.546,4.716,1.921,9.161
pr107.tsp,0.614,0.112,0.081,0.131,0.081
pr124.tsp,8.843,1.707,1.149,2.021,1.721
pr136.tsp,2.754,1.582,1.093,1.409,0.842
pr144.tsp,11.239,3.109,2.891,3.848,3.149
pr152.tsp,5.479,4.995,2.038,4.842,2.771
pr226.tsp,66.161,17.555,9.497,14.279,9.422
pr299.tsp,108.237,125.979,600.422,51.142,602.06
pr439.tsp,409.73,501.036,601.212,362.521,600.87
rat99.tsp,1.548,0.345,0.532,0.321,0.739
rat195.tsp,37.502,12.853,12.693,10.908,23.791
rat575.tsp,391.694,281.827,603.548,352.712,600.922
rat783.tsp,222.909,381.214,601.648,601.169,601.951
rd100.tsp,2.306,1.122,0.573,0.684,0.968
rd400.tsp,128.746,80.335,601.351,46.511,601.14
st70.tsp,0.466,0.193,0.217,0.232,0.221
u159.tsp,3.285,2.096,1.374,1.838,2.012
u574.tsp,157.913,161.905,600.96,194.281,602.541
u724.tsp,440.595,601.345,603.29,608.091,602.201
ulysses16.tsp,0.232,0.121,0.047,0.051,0.039
ulysses22.tsp,0.186,0.067,0.031,0.081,0.041
