1, Insertion
a280.tsp, 2817.92
ali535.tsp, 2186.59
att532.tsp, 95278.72
d1291.tsp, 55837.31
d1655.tsp, 67388.14
d2103.tsp, 83354.07
d493.tsp, 37991.33
d657.tsp, 54818.10
dsj1000.tsp, 20741407.35
fl1400.tsp, 21580.66
fl1577.tsp, 24438.44
fl417.tsp, 12706.85
gil262.tsp, 2614.51
gr431.tsp, 2046.59
gr666.tsp, 3374.16
lin318.tsp, 45986.47
nrw1379.tsp, 62273.17
p654.tsp, 38113.48
pcb1173.tsp, 62190.34
pcb442.tsp, 55455.11
pr1002.tsp, 285476.34
pr299.tsp, 52751.57
pr439.tsp, 117315.31
rat575.tsp, 7421.49
rat783.tsp, 9670.53
rd400.tsp, 16649.07
rl1304.tsp, 282135.94
rl1323.tsp, 297641.77
rl1889.tsp, 352153.29
u1060.tsp, 251325.95
u1432.tsp, 168218.63
u1817.tsp, 63120.91
u574.tsp, 40965.17
u724.tsp, 47088.64
vm1084.tsp, 260985.29
vm1748.tsp, 375447.73
