6, Genetic,Hybrid VNS,Hybrid VNS Uniform,Tabu search,Simulated Annealing,Multistart
a280.tsp,2690.74,,,,,
bier127.tsp,118336.91,,,,,
ch130.tsp,6127.97,,,,,
ch150.tsp,6580.71,,,,,
d198.tsp,15935.33,,,,,
gil262.tsp,2454.8,,,,,
gr137.tsp,709.06,,,,,
kroA150.tsp,26724.72,,,,,
kroA200.tsp,29621.32,,,,,
kroB150.tsp,26349.62,,,,,
kroB200.tsp,30024.8,,,,,
pr124.tsp,59074.8,,,,,
pr136.tsp,97551.4,,,,,
pr144.tsp,58568.77,,,,,
pr152.tsp,73687.11,,,,,
pr226.tsp,80644.46,,,,,
pr264.tsp,50217.59,,,,,
pr299.tsp,50274.1,,,,,
rd400.tsp,16118.4,,,,,
u159.tsp,42075.67,,,,,
