4,Hybrid VNS,Hybrid VNS Uniform,TabuSearch,Simulated Annealing
d1291.tsp,55579.7,54622.05,54893.9,54309.32
d1655.tsp,66661.25,66694.86,66361.42,65102.31
d2103.tsp,82371.89,82225.44,82288.44,82037.22
dsj1000.tsp,20252290.51,19767771.54,20290495.55,20552389
fl1400.tsp,21508.98,20932.21,21727.11,21306.06
fl1577.tsp,24382.62,23287.37,24140.02,23875.58
nrw1379.tsp,60399.89,60456.74,60205.58,59350.93
pcb1173.tsp,61446.54,60073.98,60164.11,59879.89
pr1002.tsp,275153.89,277315.21,270890.66,270671.89
pr2392.tsp,408313.97,406410.65,409085.65,404233.03
rl1304.tsp,282035.92,266352.94,278936.04,275343.16
rl1323.tsp,289177.86,282450.23,290383.43,286016.11
rl1889.tsp,345043.74,339914.33,346784.47,344552.56
u1060.tsp,237825.17,236736.18,239277.18,233324.89
u1432.tsp,164646.37,162328.27,162102.6,162103.55
u1817.tsp,62460.55,61316.67,62030.58,62083.04
u2152.tsp,70952.18,70145.91,70100.98,70103.33
u2319.tsp,246272.89,246234.31,244854.41,244715.4
vm1084.tsp,254733.26,257034.98,254005.22,251366.15
vm1748.tsp,358335.39,357576.31,362593.77,359928.19
